hospital,Категорія діагнозу,Діагноз,visit_month,Стать,age,counts
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-05,Чоловіча,y40-64,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-06,Жіноча,y18-39,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-06,Жіноча,y40-64,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-06,Жіноча,y6-17,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-06,Жіноча,y65+,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-06,Чоловіча,y18-39,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-06,Чоловіча,y40-64,6
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-06,Чоловіча,y6-17,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-07,Жіноча,y0-5,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-07,Жіноча,y18-39,5
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-07,Жіноча,y40-64,7
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-07,Жіноча,y6-17,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-07,Жіноча,y65+,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-07,Чоловіча,y0-5,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-07,Чоловіча,y18-39,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-07,Чоловіча,y40-64,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-07,Чоловіча,y6-17,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-07,Чоловіча,y65+,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-08,Жіноча,y18-39,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-08,Жіноча,y40-64,4
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-08,Чоловіча,y0-5,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-08,Чоловіча,y18-39,5
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-08,Чоловіча,y40-64,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-08,Чоловіча,y6-17,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-08,Чоловіча,y65+,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-09,Жіноча,y18-39,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-09,Жіноча,y65+,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-09,Чоловіча,y18-39,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-09,Чоловіча,y40-64,5
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-09,Чоловіча,y65+,4
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-10,Жіноча,y0-5,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-10,Жіноча,y18-39,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-10,Жіноча,y40-64,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-10,Жіноча,y6-17,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-10,Жіноча,y65+,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-10,Чоловіча,y40-64,5
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-10,Чоловіча,y65+,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-11,Жіноча,y0-5,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-11,Жіноча,y18-39,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-11,Жіноча,y40-64,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-11,Жіноча,y6-17,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-11,Чоловіча,y18-39,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-11,Чоловіча,y40-64,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-11,Чоловіча,y65+,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-12,Жіноча,y0-5,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-12,Жіноча,y18-39,5
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-12,Жіноча,y40-64,4
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-12,Жіноча,y6-17,4
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-12,Жіноча,y65+,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-12,Чоловіча,y18-39,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-12,Чоловіча,y40-64,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-12,Чоловіча,y65+,1
1,Вухо,H99 Захворювання вуха інші  ,2019-01,Чоловіча,y18-39,1
1,Вухо,H99 Захворювання вуха інші  ,2019-01,Чоловіча,y40-64,1
1,Вухо,H99 Захворювання вуха інші  ,2019-02,Жіноча,y18-39,1
1,Вухо,H99 Захворювання вуха інші  ,2019-02,Жіноча,y65+,3
1,Вухо,H99 Захворювання вуха інші  ,2019-02,Чоловіча,y65+,2
1,Вухо,H99 Захворювання вуха інші  ,2019-03,Жіноча,y18-39,3
1,Вухо,H99 Захворювання вуха інші  ,2019-03,Жіноча,y40-64,8
1,Вухо,H99 Захворювання вуха інші  ,2019-03,Жіноча,y65+,4
1,Вухо,H99 Захворювання вуха інші  ,2019-03,Чоловіча,y18-39,1
1,Вухо,H99 Захворювання вуха інші  ,2019-03,Чоловіча,y65+,2
1,Вухо,H99 Захворювання вуха інші  ,2019-04,Жіноча,y18-39,3
1,Вухо,H99 Захворювання вуха інші  ,2019-04,Жіноча,y40-64,4
1,Вухо,H99 Захворювання вуха інші  ,2019-04,Жіноча,y65+,6
1,Вухо,H99 Захворювання вуха інші  ,2019-04,Чоловіча,y18-39,1
1,Вухо,H99 Захворювання вуха інші  ,2019-04,Чоловіча,y40-64,6
1,Вухо,H99 Захворювання вуха інші  ,2019-04,Чоловіча,y65+,2
1,Вухо,H99 Захворювання вуха інші  ,2019-05,Жіноча,y18-39,2
1,Вухо,H99 Захворювання вуха інші  ,2019-05,Жіноча,y40-64,6
1,Вухо,H99 Захворювання вуха інші  ,2019-05,Жіноча,y65+,7
1,Вухо,H99 Захворювання вуха інші  ,2019-05,Чоловіча,y18-39,6
1,Вухо,H99 Захворювання вуха інші  ,2019-05,Чоловіча,y40-64,1
1,Вухо,H99 Захворювання вуха інші  ,2019-05,Чоловіча,y6-17,1
1,Вухо,H99 Захворювання вуха інші  ,2019-05,Чоловіча,y65+,2
1,Вухо,H99 Захворювання вуха інші  ,2019-06,Жіноча,y18-39,2
1,Вухо,H99 Захворювання вуха інші  ,2019-06,Жіноча,y40-64,4
1,Вухо,H99 Захворювання вуха інші  ,2019-06,Жіноча,y65+,5
1,Вухо,H99 Захворювання вуха інші  ,2019-06,Чоловіча,y0-5,1
1,Вухо,H99 Захворювання вуха інші  ,2019-06,Чоловіча,y18-39,2
1,Вухо,H99 Захворювання вуха інші  ,2019-06,Чоловіча,y40-64,1
1,Вухо,H99 Захворювання вуха інші  ,2019-06,Чоловіча,y6-17,2
1,Вухо,H99 Захворювання вуха інші  ,2019-06,Чоловіча,y65+,1
1,Вухо,H99 Захворювання вуха інші  ,2019-07,Жіноча,y18-39,2
1,Вухо,H99 Захворювання вуха інші  ,2019-07,Жіноча,y40-64,3
1,Вухо,H99 Захворювання вуха інші  ,2019-07,Жіноча,y6-17,2
1,Вухо,H99 Захворювання вуха інші  ,2019-07,Жіноча,y65+,5
1,Вухо,H99 Захворювання вуха інші  ,2019-07,Чоловіча,y18-39,4
1,Вухо,H99 Захворювання вуха інші  ,2019-07,Чоловіча,y40-64,7
1,Вухо,H99 Захворювання вуха інші  ,2019-07,Чоловіча,y65+,1
1,Вухо,H99 Захворювання вуха інші  ,2019-08,Жіноча,y18-39,1
1,Вухо,H99 Захворювання вуха інші  ,2019-08,Жіноча,y40-64,1
1,Вухо,H99 Захворювання вуха інші  ,2019-08,Жіноча,y6-17,1
1,Вухо,H99 Захворювання вуха інші  ,2019-08,Жіноча,y65+,2
1,Вухо,H99 Захворювання вуха інші  ,2019-08,Чоловіча,y18-39,1
1,Вухо,H99 Захворювання вуха інші  ,2019-08,Чоловіча,y40-64,10
1,Вухо,H99 Захворювання вуха інші  ,2019-08,Чоловіча,y6-17,1
1,Вухо,H99 Захворювання вуха інші  ,2019-08,Чоловіча,y65+,1
1,Вухо,H99 Захворювання вуха інші  ,2019-09,Жіноча,y18-39,1
1,Вухо,H99 Захворювання вуха інші  ,2019-09,Жіноча,y40-64,11
1,Вухо,H99 Захворювання вуха інші  ,2019-09,Жіноча,y65+,2
1,Вухо,H99 Захворювання вуха інші  ,2019-09,Чоловіча,y0-5,1
1,Вухо,H99 Захворювання вуха інші  ,2019-09,Чоловіча,y18-39,1
1,Вухо,H99 Захворювання вуха інші  ,2019-09,Чоловіча,y40-64,5
1,Вухо,H99 Захворювання вуха інші  ,2019-09,Чоловіча,y65+,8
1,Вухо,H99 Захворювання вуха інші  ,2019-10,Жіноча,y18-39,6
1,Вухо,H99 Захворювання вуха інші  ,2019-10,Жіноча,y40-64,16
1,Вухо,H99 Захворювання вуха інші  ,2019-10,Жіноча,y6-17,1
1,Вухо,H99 Захворювання вуха інші  ,2019-10,Жіноча,y65+,6
1,Вухо,H99 Захворювання вуха інші  ,2019-10,Чоловіча,y0-5,1
1,Вухо,H99 Захворювання вуха інші  ,2019-10,Чоловіча,y18-39,2
1,Вухо,H99 Захворювання вуха інші  ,2019-10,Чоловіча,y40-64,8
1,Вухо,H99 Захворювання вуха інші  ,2019-10,Чоловіча,y65+,4
1,Вухо,H99 Захворювання вуха інші  ,2019-11,Жіноча,y18-39,1
1,Вухо,H99 Захворювання вуха інші  ,2019-11,Жіноча,y40-64,9
1,Вухо,H99 Захворювання вуха інші  ,2019-11,Жіноча,y6-17,1
1,Вухо,H99 Захворювання вуха інші  ,2019-11,Жіноча,y65+,11
1,Вухо,H99 Захворювання вуха інші  ,2019-11,Чоловіча,y0-5,1
1,Вухо,H99 Захворювання вуха інші  ,2019-11,Чоловіча,y18-39,2
1,Вухо,H99 Захворювання вуха інші  ,2019-11,Чоловіча,y40-64,6
1,Вухо,H99 Захворювання вуха інші  ,2019-11,Чоловіча,y6-17,3
1,Вухо,H99 Захворювання вуха інші  ,2019-12,Жіноча,y18-39,4
1,Вухо,H99 Захворювання вуха інші  ,2019-12,Жіноча,y40-64,3
1,Вухо,H99 Захворювання вуха інші  ,2019-12,Жіноча,y6-17,1
1,Вухо,H99 Захворювання вуха інші  ,2019-12,Жіноча,y65+,4
1,Вухо,H99 Захворювання вуха інші  ,2019-12,Чоловіча,y18-39,5
1,Вухо,H99 Захворювання вуха інші  ,2019-12,Чоловіча,y40-64,10
1,Вухо,H99 Захворювання вуха інші  ,2019-12,Чоловіча,y6-17,2
1,Вухо,H99 Захворювання вуха інші  ,2019-12,Чоловіча,y65+,6
1,Дихальна система,R05 Кашель  ,2019-02,Жіноча,y0-5,1
1,Дихальна система,R05 Кашель  ,2019-03,Жіноча,y65+,2
1,Дихальна система,R05 Кашель  ,2019-03,Чоловіча,y65+,1
1,Дихальна система,R05 Кашель  ,2019-04,Жіноча,y65+,1
1,Дихальна система,R05 Кашель  ,2019-05,Жіноча,y65+,2
1,Дихальна система,R05 Кашель  ,2019-06,Жіноча,y0-5,2
1,Дихальна система,R05 Кашель  ,2019-06,Чоловіча,y0-5,1
1,Дихальна система,R05 Кашель  ,2019-07,Чоловіча,y0-5,1
1,Дихальна система,R05 Кашель  ,2019-07,Чоловіча,y40-64,1
1,Дихальна система,R05 Кашель  ,2019-08,Чоловіча,y40-64,1
1,Дихальна система,R05 Кашель  ,2019-08,Чоловіча,y65+,3
1,Дихальна система,R05 Кашель  ,2019-09,Жіноча,y0-5,1
1,Дихальна система,R05 Кашель  ,2019-09,Жіноча,y6-17,2
1,Дихальна система,R05 Кашель  ,2019-09,Чоловіча,y18-39,2
1,Дихальна система,R05 Кашель  ,2019-09,Чоловіча,y6-17,2
1,Дихальна система,R05 Кашель  ,2019-10,Жіноча,y6-17,1
1,Дихальна система,R05 Кашель  ,2019-10,Чоловіча,y18-39,2
1,Дихальна система,R05 Кашель  ,2019-10,Чоловіча,y40-64,1
1,Дихальна система,R05 Кашель  ,2019-10,Чоловіча,y65+,2
1,Дихальна система,R05 Кашель  ,2019-12,Чоловіча,y40-64,1
1,Дихальна система,R05 Кашель  ,2019-12,Чоловіча,y6-17,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-01,Жіноча,y0-5,3
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-01,Жіноча,y6-17,2
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-01,Чоловіча,y0-5,4
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-02,Жіноча,y0-5,2
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-02,Жіноча,y6-17,5
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-02,Чоловіча,y0-5,8
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-02,Чоловіча,y6-17,3
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-03,Жіноча,y0-5,5
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-03,Жіноча,y6-17,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-03,Чоловіча,y0-5,3
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-04,Жіноча,y0-5,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-04,Жіноча,y6-17,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-04,Чоловіча,y6-17,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-05,Жіноча,y0-5,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-05,Жіноча,y6-17,2
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-05,Чоловіча,y0-5,3
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-05,Чоловіча,y6-17,5
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-06,Жіноча,y0-5,4
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-06,Жіноча,y40-64,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-06,Чоловіча,y0-5,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-06,Чоловіча,y18-39,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-07,Жіноча,y0-5,2
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-07,Жіноча,y40-64,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-07,Чоловіча,y0-5,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-08,Жіноча,y0-5,7
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-08,Жіноча,y6-17,2
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-08,Чоловіча,y0-5,11
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-08,Чоловіча,y18-39,2
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-08,Чоловіча,y6-17,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-09,Жіноча,y0-5,5
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-09,Жіноча,y6-17,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-09,Чоловіча,y6-17,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-10,Жіноча,y0-5,10
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-10,Жіноча,y6-17,2
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-10,Чоловіча,y0-5,10
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-10,Чоловіча,y6-17,3
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-11,Жіноча,y0-5,3
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-11,Жіноча,y6-17,3
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-11,Чоловіча,y0-5,6
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-11,Чоловіча,y18-39,1
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-11,Чоловіча,y6-17,4
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-12,Жіноча,y0-5,6
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-12,Жіноча,y6-17,3
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-12,Чоловіча,y0-5,5
1,Дихальна система,R08 Ніс - симптом / скарга ін.  ,2019-12,Чоловіча,y6-17,4
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-01,Жіноча,y6-17,1
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-03,Жіноча,y40-64,3
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-03,Жіноча,y6-17,1
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-03,Чоловіча,y6-17,1
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-04,Жіноча,y40-64,1
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-05,Жіноча,y40-64,1
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-05,Чоловіча,y6-17,1
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-08,Чоловіча,y0-5,3
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-09,Жіноча,y0-5,1
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-09,Жіноча,y40-64,2
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-10,Жіноча,y40-64,1
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-11,Жіноча,y0-5,1
1,Дихальна система,R21 Горло - симптом / скарга  ,2019-11,Чоловіча,y6-17,2
1,Дихальна система,R72 Стрептококова інфекція горла  ,2019-01,Жіноча,y18-39,2
1,Дихальна система,R72 Стрептококова інфекція горла  ,2019-01,Чоловіча,y18-39,3
1,Дихальна система,R72 Стрептококова інфекція горла  ,2019-02,Жіноча,y40-64,6
1,Дихальна система,R72 Стрептококова інфекція горла  ,2019-02,Чоловіча,y18-39,6
1,Дихальна система,R72 Стрептококова інфекція горла  ,2019-03,Жіноча,y18-39,1
1,Дихальна система,R72 Стрептококова інфекція горла  ,2019-03,Жіноча,y40-64,3
1,Дихальна система,R72 Стрептококова інфекція горла  ,2019-03,Чоловіча,y18-39,4
