hospital,Діагноз,visit_month,Стать,age,counts,counts_unique
3,K90 Інсульт / порушення мозкового кровообігу ,2019-01,Чоловіча,y40-64,2,
3,K91 Захворювання судин мозку ,2019-01,Чоловіча,y40-64,1,1.0
3,L86 Спинний синдром з іррадіацією болю ,2019-01,Жіноча,y40-64,20,7.0
3,L86 Спинний синдром з іррадіацією болю ,2019-01,Жіноча,y65+,1,1.0
3,L86 Спинний синдром з іррадіацією болю ,2019-01,Чоловіча,y18-39,20,9.0
3,L99 Захворювання (L) інші ,2019-01,Чоловіча,y40-64,13,6.0
3,L99 Захворювання (L) інші ,2019-01,Чоловіча,y18-39,11,4.0
3,L99 Захворювання (L) інші ,2019-01,Чоловіча,y0-5,1,1.0
3,L99 Захворювання (L) інші ,2019-01,Жіноча,y65+,4,1.0
3,L99 Захворювання (L) інші ,2019-01,Жіноча,y6-17,3,1.0
3,L99 Захворювання (L) інші ,2019-01,Жіноча,y40-64,5,2.0
3,L99 Захворювання (L) інші ,2019-01,Жіноча,y18-39,3,2.0
3,L98 Набута деформація кінцівки ,2019-01,Чоловіча,y40-64,2,1.0
3,L99 Захворювання (L) інші ,2019-01,Чоловіча,y65+,3,2.0
3,L98 Набута деформація кінцівки ,2019-01,Чоловіча,y0-5,1,1.0
3,L98 Набута деформація кінцівки ,2019-01,Жіноча,y40-64,1,
1,L88 Ревматоїдний / серопозитивний артрит ,2019-01,Жіноча,y40-64,1,
3,L94 Остеохондроз ,2019-01,Чоловіча,y65+,14,6.0
3,L94 Остеохондроз ,2019-01,Чоловіча,y40-64,26,15.0
3,L94 Остеохондроз ,2019-01,Чоловіча,y18-39,19,11.0
3,L94 Остеохондроз ,2019-01,Чоловіча,,1,1.0
3,L94 Остеохондроз ,2019-01,Жіноча,y65+,28,13.0
3,L94 Остеохондроз ,2019-01,Жіноча,y6-17,1,1.0
3,L98 Набута деформація кінцівки ,2019-01,Жіноча,y6-17,1,1.0
3,L94 Остеохондроз ,2019-01,Жіноча,y40-64,78,31.0
1,L86 Спинний синдром з іррадіацією болю ,2019-01,Чоловіча,y40-64,1,1.0
1,L86 Спинний синдром з іррадіацією болю ,2019-01,Жіноча,y40-64,5,2.0
3,N95 Головний біль напруги ,2019-01,Жіноча,y65+,5,2.0
1,L84 Спинний синдром без іррадіації болю ,2019-01,Жіноча,y40-64,1,1.0
1,L84 Спинний синдром без іррадіації болю ,2019-01,Чоловіча,y18-39,4,1.0
1,L84 Спинний синдром без іррадіації болю ,2019-01,Чоловіча,y40-64,7,3.0
1,L84 Спинний синдром без іррадіації болю ,2019-01,Чоловіча,y65+,1,1.0
3,N88 Епілепсія ,2019-01,Жіноча,y18-39,2,1.0
3,N87 Паркінсонізм ,2019-01,Чоловіча,y65+,2,1.0
3,N87 Паркінсонізм ,2019-01,Жіноча,y65+,2,
1,L86 Спинний синдром з іррадіацією болю ,2019-01,Жіноча,y65+,3,2.0
3,N87 Паркінсонізм ,2019-01,Жіноча,y40-64,1,1.0
3,N01 Головний біль ,2019-01,Чоловіча,y6-17,1,1.0
1,L85 Набута деформація хребта ,2019-01,Жіноча,y0-5,1,1.0
1,L85 Набута деформація хребта ,2019-01,Жіноча,y6-17,1,1.0
1,L85 Набута деформація хребта ,2019-01,Чоловіча,y0-5,1,1.0
5,R99 Захворювання дихальної системи ін.  ,2019-01,Жіноча,y6-17,1,1.0
5,R99 Захворювання дихальної системи ін.  ,2019-01,Жіноча,y18-39,1,1.0
1,L86 Спинний синдром з іррадіацією болю ,2019-01,Жіноча,,5,4.0
1,L86 Спинний синдром з іррадіацією болю ,2019-01,Жіноча,y18-39,1,1.0
5,D98 Холецистит / жовчнокам'яна хвороба  ,2019-01,Жіноча,y40-64,1,1.0
3,L94 Остеохондроз ,2019-01,Жіноча,y18-39,25,13.0
5,"D99 Хвороба системи травлення, ін.  ",2019-01,Жіноча,y40-64,5,5.0
5,"D99 Хвороба системи травлення, ін.  ",2019-01,Жіноча,y6-17,1,1.0
5,R97 Алергічний риніт  ,2019-01,Чоловіча,y18-39,1,1.0
1,L91 Остеоартроз ін. ,2019-01,Жіноча,,1,1.0
1,L91 Остеоартроз ін. ,2019-01,Жіноча,y40-64,9,7.0
1,L91 Остеоартроз ін. ,2019-01,Жіноча,y65+,7,3.0
3,L90 Остеоартроз колінного суглоба ,2019-01,Чоловіча,y65+,3,2.0
3,L90 Остеоартроз колінного суглоба ,2019-01,Чоловіча,y40-64,6,6.0
3,L90 Остеоартроз колінного суглоба ,2019-01,Жіноча,y65+,14,4.0
3,L90 Остеоартроз колінного суглоба ,2019-01,Жіноча,y40-64,17,6.0
3,L91 Остеоартроз ін. ,2019-01,Жіноча,y18-39,1,
3,L90 Остеоартроз колінного суглоба ,2019-01,Жіноча,y18-39,2,2.0
3,L89 Остеоартроз кульшового суглоба ,2019-01,Чоловіча,y40-64,1,1.0
3,L89 Остеоартроз кульшового суглоба ,2019-01,Жіноча,y65+,4,3.0
3,L89 Остеоартроз кульшового суглоба ,2019-01,Жіноча,y40-64,2,2.0
3,L88 Ревматоїдний / серопозитивний артрит ,2019-01,Жіноча,y65+,1,
3,L88 Ревматоїдний / серопозитивний артрит ,2019-01,Жіноча,y40-64,9,4.0
3,L86 Спинний синдром з іррадіацією болю ,2019-01,Чоловіча,y65+,1,1.0
1,L92 Плечовий синдром ,2019-01,Чоловіча,,1,1.0
3,L86 Спинний синдром з іррадіацією болю ,2019-01,Чоловіча,y40-64,9,3.0
3,L89 Остеоартроз кульшового суглоба ,2019-01,Чоловіча,y65+,5,3.0
3,L91 Остеоартроз ін. ,2019-01,Жіноча,y40-64,21,11.0
3,L91 Остеоартроз ін. ,2019-01,Жіноча,y65+,13,7.0
3,L91 Остеоартроз ін. ,2019-01,Чоловіча,y18-39,7,3.0
5,"D99 Хвороба системи травлення, ін.  ",2019-01,Жіноча,y65+,2,2.0
5,"D99 Хвороба системи травлення, ін.  ",2019-01,Чоловіча,y0-5,2,2.0
5,"D99 Хвороба системи травлення, ін.  ",2019-01,Чоловіча,y18-39,1,1.0
1,L89 Остеоартроз кульшового суглоба ,2019-01,Жіноча,y40-64,3,2.0
3,L92 Плечовий синдром ,2019-01,Чоловіча,y65+,1,
3,L92 Плечовий синдром ,2019-01,Чоловіча,y40-64,7,3.0
3,L92 Плечовий синдром ,2019-01,Чоловіча,y18-39,4,1.0
3,L92 Плечовий синдром ,2019-01,Жіноча,y40-64,9,4.0
5,"D99 Хвороба системи травлення, ін.  ",2019-01,Чоловіча,y40-64,2,1.0
5,"D99 Хвороба системи травлення, ін.  ",2019-01,Чоловіча,y6-17,1,
5,"D99 Хвороба системи травлення, ін.  ",2019-01,Чоловіча,y65+,2,2.0
1,L90 Остеоартроз колінного суглоба ,2019-01,Жіноча,,2,1.0
1,L90 Остеоартроз колінного суглоба ,2019-01,Жіноча,y18-39,3,3.0
1,L90 Остеоартроз колінного суглоба ,2019-01,Жіноча,y40-64,13,6.0
1,L90 Остеоартроз колінного суглоба ,2019-01,Жіноча,y65+,4,3.0
1,L90 Остеоартроз колінного суглоба ,2019-01,Чоловіча,y40-64,4,1.0
1,L90 Остеоартроз колінного суглоба ,2019-01,Чоловіча,y65+,5,3.0
3,L91 Остеоартроз ін. ,2019-01,Чоловіча,y65+,5,4.0
3,L91 Остеоартроз ін. ,2019-01,Чоловіча,y40-64,17,5.0
3,K85 Підвищений артеріальний тиск  ,2019-01,Чоловіча,y18-39,3,1.0
3,K85 Підвищений артеріальний тиск  ,2019-01,Жіноча,y65+,39,20.0
3,K85 Підвищений артеріальний тиск  ,2019-01,Жіноча,y40-64,23,10.0
3,K85 Підвищений артеріальний тиск  ,2019-01,Жіноча,y18-39,10,8.0
1,R75 Синусит гострий / хронічний  ,2019-01,Чоловіча,y18-39,8,4.0
1,R75 Синусит гострий / хронічний  ,2019-01,Чоловіча,y40-64,6,3.0
1,R75 Синусит гострий / хронічний  ,2019-01,Чоловіча,y6-17,2,
3,D98 Холецистит / жовчнокам'яна хвороба  ,2019-01,Чоловіча,y65+,2,1.0
3,D98 Холецистит / жовчнокам'яна хвороба  ,2019-01,Чоловіча,y40-64,3,1.0
3,D98 Холецистит / жовчнокам'яна хвороба  ,2019-01,Чоловіча,y18-39,3,1.0
3,D98 Холецистит / жовчнокам'яна хвороба  ,2019-01,Жіноча,y65+,11,4.0
3,D98 Холецистит / жовчнокам'яна хвороба  ,2019-01,Жіноча,y40-64,7,5.0
1,R75 Синусит гострий / хронічний  ,2019-01,Чоловіча,y0-5,3,3.0
3,D98 Холецистит / жовчнокам'яна хвороба  ,2019-01,Жіноча,y18-39,2,1.0
5,K80 Серцева аритмія БДУ  ,2019-01,Чоловіча,y65+,1,1.0
3,D97 Захворювання печінки БДУ  ,2019-01,Чоловіча,y65+,4,2.0
3,D97 Захворювання печінки БДУ  ,2019-01,Чоловіча,y40-64,3,2.0
3,D97 Захворювання печінки БДУ  ,2019-01,Чоловіча,y18-39,1,1.0
3,D97 Захворювання печінки БДУ  ,2019-01,Жіноча,y65+,2,
3,D97 Захворювання печінки БДУ  ,2019-01,Жіноча,y6-17,1,1.0
3,D97 Захворювання печінки БДУ  ,2019-01,Жіноча,y40-64,7,
3,D97 Захворювання печінки БДУ  ,2019-01,Жіноча,y18-39,5,1.0
5,K80 Серцева аритмія БДУ  ,2019-01,Чоловіча,y40-64,1,
1,R76 Гострий тонзиліт  ,2019-01,Жіноча,,1,1.0
1,R75 Синусит гострий / хронічний  ,2019-01,Жіноча,y6-17,2,2.0
1,R75 Синусит гострий / хронічний  ,2019-01,Жіноча,y18-39,2,2.0
3,F92 Катаракта  ,2019-01,Чоловіча,y65+,1,
3,F92 Катаракта  ,2019-01,Жіноча,y65+,2,1.0
3,F92 Катаракта  ,2019-01,Жіноча,y40-64,4,2.0
3,"D99 Хвороба системи травлення, ін.  ",2019-01,Чоловіча,y65+,5,1.0
3,"D99 Хвороба системи травлення, ін.  ",2019-01,Чоловіча,y6-17,2,1.0
3,"D99 Хвороба системи травлення, ін.  ",2019-01,Чоловіча,y40-64,16,3.0
3,"D99 Хвороба системи травлення, ін.  ",2019-01,Чоловіча,y18-39,11,8.0
1,R74 Гостра інфекція верхніх дихальних шляхів   K76 ІХС без стенокардії  ,2019-01,Жіноча,y40-64,12,5.0
1,R75 Синусит гострий / хронічний  ,2019-01,Жіноча,y40-64,8,5.0
1,R74 Гостра інфекція верхніх дихальних шляхів   K76 ІХС без стенокардії  ,2019-01,Жіноча,y65+,2,2.0
1,R74 Гостра інфекція верхніх дихальних шляхів   K76 ІХС без стенокардії  ,2019-01,Чоловіча,y65+,1,1.0
3,"D99 Хвороба системи травлення, ін.  ",2019-01,Жіноча,y65+,30,16.0
3,"D99 Хвороба системи травлення, ін.  ",2019-01,Жіноча,y6-17,2,2.0
3,"D99 Хвороба системи травлення, ін.  ",2019-01,Жіноча,y40-64,17,10.0
3,"D99 Хвороба системи травлення, ін.  ",2019-01,Жіноча,y18-39,11,5.0
5,K77 Серцева недостатність  ,2019-01,Жіноча,y65+,1,1.0
1,R75 Синусит гострий / хронічний  ,2019-01,Жіноча,,4,2.0
1,R75 Синусит гострий / хронічний  ,2019-01,Жіноча,y0-5,1,
1,R74 Гостра інфекція верхніх дихальних шляхів   K76 ІХС без стенокардії  ,2019-01,Чоловіча,y40-64,3,1.0
1,R76 Гострий тонзиліт  ,2019-01,Жіноча,y0-5,1,
1,R76 Гострий тонзиліт  ,2019-01,Жіноча,y18-39,7,2.0
1,R76 Гострий тонзиліт  ,2019-01,Жіноча,y40-64,3,1.0
5,R83 Респіраторні інфекції інші  ,2019-01,Жіноча,y18-39,5,1.0
3,D85 Виразка дванадцятипалої кишки  ,2019-01,Чоловіча,y65+,4,1.0
3,D85 Виразка дванадцятипалої кишки  ,2019-01,Чоловіча,y18-39,1,
3,D85 Виразка дванадцятипалої кишки  ,2019-01,Жіноча,y65+,1,
3,D85 Виразка дванадцятипалої кишки  ,2019-01,Жіноча,y40-64,3,3.0
1,R77 Гострий ларингіт / трахеїт  ,2019-01,Жіноча,,1,
1,R77 Гострий ларингіт / трахеїт  ,2019-01,Жіноча,y0-5,3,
1,R77 Гострий ларингіт / трахеїт  ,2019-01,Жіноча,y18-39,6,4.0
5,R83 Респіраторні інфекції інші  ,2019-01,Жіноча,y40-64,5,2.0
1,R77 Гострий ларингіт / трахеїт  ,2019-01,Жіноча,y40-64,8,5.0
1,R77 Гострий ларингіт / трахеїт  ,2019-01,Жіноча,y65+,2,1.0
1,R77 Гострий ларингіт / трахеїт  ,2019-01,Чоловіча,y0-5,2,1.0
3,D83 Захворювання роту / язика / губ  ,2019-01,Чоловіча,y18-39,1,1.0
3,D83 Захворювання роту / язика / губ  ,2019-01,Жіноча,y40-64,4,4.0
3,D75 Злоякісне новоутв. товстої / прямої кишки  ,2019-01,Чоловіча,y40-64,1,1.0
3,D75 Злоякісне новоутв. товстої / прямої кишки  ,2019-01,Жіноча,y40-64,1,1.0
3,D72 Вірусний гепатит  ,2019-01,Чоловіча,y18-39,1,
3,D01 Біль у животі /кольки без локалізації  ,2019-01,Чоловіча,y6-17,1,1.0
1,R77 Гострий ларингіт / трахеїт  ,2019-01,Жіноча,y6-17,4,2.0
5,R83 Респіраторні інфекції інші  ,2019-01,Жіноча,y6-17,3,2.0
5,R83 Респіраторні інфекції інші  ,2019-01,Жіноча,y65+,1,
5,R83 Респіраторні інфекції інші  ,2019-01,Чоловіча,y0-5,1,1.0
1,R76 Гострий тонзиліт  ,2019-01,Жіноча,y6-17,3,2.0
1,R76 Гострий тонзиліт  ,2019-01,Чоловіча,,1,
1,R76 Гострий тонзиліт  ,2019-01,Чоловіча,y0-5,1,1.0
1,R76 Гострий тонзиліт  ,2019-01,Чоловіча,y18-39,5,2.0
1,R76 Гострий тонзиліт  ,2019-01,Чоловіча,y6-17,4,1.0
1,R76 Гострий тонзиліт  ,2019-01,Чоловіча,y65+,1,1.0
3,D87 Розлад функції шлунку  ,2019-01,Чоловіча,y40-64,1,1.0
3,D87 Розлад функції шлунку  ,2019-01,Чоловіча,y18-39,1,
3,D87 Розлад функції шлунку  ,2019-01,Жіноча,y65+,1,
3,D87 Розлад функції шлунку  ,2019-01,Жіноча,y6-17,1,1.0
3,D87 Розлад функції шлунку  ,2019-01,Жіноча,y40-64,6,3.0
3,D87 Розлад функції шлунку  ,2019-01,Жіноча,y18-39,5,1.0
5,K84 Хвороби серця інші  ,2019-01,Жіноча,y40-64,1,
5,K84 Хвороби серця інші  ,2019-01,Жіноча,y65+,6,5.0
5,K84 Хвороби серця інші  ,2019-01,Чоловіча,y40-64,1,
3,D86 Виразкова хвороба ін.  ,2019-01,Чоловіча,y65+,1,1.0
3,D86 Виразкова хвороба ін.  ,2019-01,Чоловіча,y40-64,2,1.0
5,R83 Респіраторні інфекції інші  ,2019-01,Чоловіча,y6-17,5,2.0
5,R83 Респіраторні інфекції інші  ,2019-01,Чоловіча,y40-64,3,
3,"F99 Захворювання ока/придатків, інші  ",2019-01,Жіноча,y6-17,2,2.0
3,N95 Головний біль напруги ,2019-01,Чоловіча,y18-39,2,
3,"F99 Захворювання ока/придатків, інші  ",2019-01,Жіноча,y65+,1,
3,"F99 Захворювання ока/придатків, інші  ",2019-01,Чоловіча,y65+,1,1.0
3,K77 Серцева недостатність  ,2019-01,Чоловіча,y65+,4,1.0
3,K77 Серцева недостатність  ,2019-01,Чоловіча,y40-64,3,1.0
3,K77 Серцева недостатність  ,2019-01,Жіноча,y65+,2,1.0
3,K77 Серцева недостатність  ,2019-01,Жіноча,y18-39,1,1.0
5,K74 ІХС із стенокардією  ,2019-01,Жіноча,y65+,15,11.0
5,K74 ІХС із стенокардією  ,2019-01,Чоловіча,y40-64,1,1.0
5,K74 ІХС із стенокардією  ,2019-01,Чоловіча,y65+,7,4.0
1,R05 Кашель  ,2019-01,Жіноча,,1,1.0
5,K74 ІХС із стенокардією  ,2019-01,Жіноча,y40-64,2,1.0
3,K76 ІХС без стенокардії  ,2019-01,Чоловіча,y65+,148,69.0
3,K76 ІХС без стенокардії  ,2019-01,Жіноча,y65+,340,165.0
3,K76 ІХС без стенокардії  ,2019-01,Жіноча,y40-64,130,65.0
3,K76 ІХС без стенокардії  ,2019-01,Жіноча,y18-39,1,1.0
3,K76 ІХС без стенокардії  ,2019-01,Жіноча,,3,1.0
1,R08 Ніс - симптом / скарга ін.  ,2019-01,Жіноча,,1,1.0
1,R08 Ніс - симптом / скарга ін.  ,2019-01,Жіноча,y0-5,3,2.0
1,R08 Ніс - симптом / скарга ін.  ,2019-01,Жіноча,y6-17,2,1.0
1,R08 Ніс - симптом / скарга ін.  ,2019-01,Чоловіча,,1,1.0
3,K76 ІХС без стенокардії  ,2019-01,Чоловіча,y40-64,67,23.0
1,R08 Ніс - симптом / скарга ін.  ,2019-01,Чоловіча,y0-5,4,3.0
5,K74 ІХС із стенокардією  ,2019-01,Жіноча,,1,1.0
3,K80 Серцева аритмія БДУ  ,2019-01,Жіноча,y40-64,4,4.0
1,"N99 Неврологічні захворювання, інші ",2019-01,Жіноча,,4,1.0
1,"N99 Неврологічні захворювання, інші ",2019-01,Жіноча,y18-39,2,1.0
1,"N99 Неврологічні захворювання, інші ",2019-01,Жіноча,y40-64,12,3.0
1,"N99 Неврологічні захворювання, інші ",2019-01,Жіноча,y6-17,8,6.0
1,"N99 Неврологічні захворювання, інші ",2019-01,Жіноча,y65+,3,1.0
1,"N99 Неврологічні захворювання, інші ",2019-01,Чоловіча,y0-5,1,1.0
1,"N99 Неврологічні захворювання, інші ",2019-01,Чоловіча,y18-39,8,4.0
1,"N99 Неврологічні захворювання, інші ",2019-01,Чоловіча,y40-64,5,3.0
3,K80 Серцева аритмія БДУ  ,2019-01,Жіноча,y18-39,1,1.0
1,"N99 Неврологічні захворювання, інші ",2019-01,Чоловіча,y6-17,3,3.0
3,K84 Хвороби серця інші  ,2019-01,Чоловіча,y65+,10,3.0
3,K84 Хвороби серця інші  ,2019-01,Чоловіча,y40-64,6,
3,K84 Хвороби серця інші  ,2019-01,Чоловіча,y18-39,2,2.0
3,K84 Хвороби серця інші  ,2019-01,Чоловіча,y0-5,1,1.0
3,K84 Хвороби серця інші  ,2019-01,Жіноча,y65+,21,10.0
3,K84 Хвороби серця інші  ,2019-01,Жіноча,y40-64,5,
3,K84 Хвороби серця інші  ,2019-01,Жіноча,y18-39,2,1.0
3,K80 Серцева аритмія БДУ  ,2019-01,Жіноча,y65+,1,1.0
1,"N99 Неврологічні захворювання, інші ",2019-01,Чоловіча,y65+,3,3.0
3,K75 Гострий інфаркт міокарда  ,2019-01,Чоловіча,y40-64,3,
3,K75 Гострий інфаркт міокарда  ,2019-01,Чоловіча,y18-39,1,
3,K75 Гострий інфаркт міокарда  ,2019-01,Жіноча,y65+,1,
1,R74 Гостра інфекція верхніх дихальних шляхів  ,2019-01,Чоловіча,y0-5,304,137.0
1,R74 Гостра інфекція верхніх дихальних шляхів  ,2019-01,Чоловіча,y18-39,391,178.0
1,R74 Гостра інфекція верхніх дихальних шляхів  ,2019-01,Чоловіча,y40-64,351,164.0
1,R74 Гостра інфекція верхніх дихальних шляхів  ,2019-01,Чоловіча,y6-17,616,304.0
1,R74 Гостра інфекція верхніх дихальних шляхів  ,2019-01,Чоловіча,y65+,34,24.0
3,H71 Гострий середній отит / мірингіт  ,2019-01,Чоловіча,y6-17,1,1.0
3,H71 Гострий середній отит / мірингіт  ,2019-01,Чоловіча,y40-64,1,1.0
3,H71 Гострий середній отит / мірингіт  ,2019-01,Жіноча,y6-17,1,
1,R74 Гостра інфекція верхніх дихальних шляхів  ,2019-01,Чоловіча,,115,51.0
3,H71 Гострий середній отит / мірингіт  ,2019-01,Жіноча,y0-5,1,1.0
5,K76 ІХС без стенокардії  ,2019-01,Жіноча,y18-39,1,
5,K76 ІХС без стенокардії  ,2019-01,Жіноча,y40-64,28,12.0
5,K76 ІХС без стенокардії  ,2019-01,Жіноча,y65+,56,28.0
5,K76 ІХС без стенокардії  ,2019-01,Чоловіча,y18-39,1,1.0
3,H70 Зовнішній отит  ,2019-01,Чоловіча,y18-39,1,
3,H70 Зовнішній отит  ,2019-01,Жіноча,y6-17,1,1.0
5,K76 ІХС без стенокардії  ,2019-01,Чоловіча,y40-64,10,6.0
5,K76 ІХС без стенокардії  ,2019-01,Чоловіча,y65+,18,14.0
5,K76 ІХС без стенокардії  ,2019-01,Жіноча,,2,2.0
1,R74 Гостра інфекція верхніх дихальних шляхів  ,2019-01,Жіноча,y65+,50,34.0
1,R74 Гостра інфекція верхніх дихальних шляхів  ,2019-01,Жіноча,y6-17,570,288.0
1,R74 Гостра інфекція верхніх дихальних шляхів  ,2019-01,Жіноча,y40-64,335,151.0
3,K75 Гострий інфаркт міокарда  ,2019-01,Жіноча,y40-64,1,
3,K74 ІХС із стенокардією  ,2019-01,Чоловіча,y65+,34,19.0
3,K74 ІХС із стенокардією  ,2019-01,Чоловіча,y40-64,43,11.0
3,K74 ІХС із стенокардією  ,2019-01,Жіноча,y65+,52,27.0
3,K74 ІХС із стенокардією  ,2019-01,Жіноча,y40-64,21,10.0
